penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
1316578633,789947231,1316578633,3185050739,1179,389,21065258128,115064707257,588,1005,21065258128,54501628315,1
5127148,3076289,1312549888,3175381751,1179,83,41017184,224048037,588,1005,3155168,8163287,1
7,4,28,41,21,12,56,135,9,16,56,43,1
1781915,1018244,7127660,10783273,189,100,14255320,34354011,93,141,2851064,2186659,1
1752809,1001612,7011236,10612795,189,99,14022472,33792681,93,141,14022472,10754501,1
1784555,1019756,7138220,10971907,189,100,14276440,34399179,93,141,2855288,2188627,1
593237,338996,2372948,3647845,189,68,4745896,11435253,93,141,4745896,3637793,1
1755449,1003124,7021796,10801429,189,99,14043592,33837849,93,141,14043592,10764341,1
579223,330988,2316892,3565763,189,67,4633784,11164983,93,141,4633784,3551707,1
2244281,1282460,690548,1064443,189,76,17954248,43259577,93,141,17954248,13760789,1
552427,315676,2209708,3408815,189,60,4419416,10648203,93,141,4419416,3387103,1
733053,418892,2932212,4524491,189,75,5864424,14129789,93,141,1954808,1498179,1
537181,306964,2148724,3319517,189,59,4297448,10354173,93,141,4297448,3293449,1
1784747,1019868,7138988,11088479,189,100,14277976,34399051,93,141,14277976,10940063,1
1755641,1003236,7022564,10918001,189,99,14045128,33837721,93,141,14045128,10761269,1
446783,255308,1787132,2790043,189,56,3574264,8610783,93,141,3574264,2738147,1
433693,247828,133444,208721,189,55,3469544,8358333,93,141,3469544,2657737,1
1763995,1008012,7055980,11082379,189,100,14111960,33995003,93,141,2822392,2161667,1
133453,76260,533812,839377,189,99,1067624,2571821,93,141,1067624,817657,1
594557,339752,1189114,1871081,189,68,4756456,11457837,93,141,4756456,3642713,1
580543,331744,580543,915020,189,67,4644344,11187567,93,141,4644344,3556627,1
2249561,1285484,8998244,14215027,189,76,17996488,43349913,93,141,17996488,13780469,1
987551,564324,3950204,6246017,189,140,7900408,19030303,93,141,7900408,6049379,1
553747,316432,553747,875783,189,60,4429976,10670787,93,141,4429976,3392023,1
980621,560364,3922484,6205427,189,139,7844968,18896653,93,141,7844968,6006809,1
734813,419900,2939252,4650247,189,75,5878504,14159901,93,141,5878504,4501097,1
538501,307720,1077002,1706917,189,59,4308008,10376757,93,141,138968,106399,1
2858395,1633396,11433580,18127397,189,136,22867160,55080219,93,141,4573432,3501539,1
2838221,1621868,11352884,18009235,189,135,22705768,54691149,93,141,22705768,17383769,1
587241,335572,2348964,3728173,189,100,4697928,11315785,93,141,1565976,1198903,1
